reporting_year,lea_name,school_code,school_name,sbe_region,spg_grade,spg_score,eg_score,eg_status,ach_score,rdgs_ach_score,mags_ach_score,cgrs_score
2019,Charter Schools,55A000,Lincoln Charter School,southwest,B,77,58,NotMet,82.2,78.3,78,95
2019,Charter Schools,60B000,Sugar Creek Charter,southwest,C,63,88.2,Exceeded,56.7,47.5,58.7,92.1
2019,Charter Schools,60D000,Lake Norman Charter,southwest,A,91,95.6,Exceeded,90.2,85.3,89.7,95
2019,Charter Schools,60G000,Queen's Grant Community School,southwest,B,74,85.2,Exceeded,70.8,66.4,69.2,85.1
2019,Charter Schools,60I000,Community School of Davidson,southwest,A,85,81.3,Met,85.6,81.1,83,95
2019,Charter Schools,60K000,Charlotte Secondary,southwest,C,58,71.2,Met,54.1,40.4,48.6,80.6
2019,Charter Schools,60S000,Bradford Preparatory School,southwest,B,75,84.6,Met,72,71.7,68.6,89.2
2019,Charter Schools,60V000,Charlotte Learning Academy,southwest,F,35,58.5,NotMet,29.3,22.1,11.8,88.2
2019,Charter Schools,84B000,Gray Stone Day,southwest,A,86,87.4,Exceeded,85.5,84.3,88.5,95
2019,Charter Schools,90A000,Union Academy,southwest,B,77,72.3,Met,78.7,72,79.6,95
2019,Charter Schools,00A000,North Carolina Cyber Academy,virtual,D,50,50,NotMet,50.1,58.1,33.1,48.3
2019,Charter Schools,00B000,NC Virtual Academy,virtual,D,48,50.8,NotMet,47.8,57.8,31.3,60.2
2019,Macon County Schools,560324,Highlands School,western,B,80,85.5,Exceeded,79.2,69,76.1,95
2019,Charter Schools,11D000,The Franklin School of Innovation,western,C,65,54.6,NotMet,67.3,71.7,65.7,73.7
2019,Charter Schools,81A000,Thomas Jefferson Class Academy,western,B,84,69,NotMet,88.2,86.2,88.4,91.9
2019,Charter Schools,81B000,Lake Lure Classical Academy,western,B,73,77.2,Met,71.8,72.8,60.2,91.2
